;怪物名 忽视防御(0~100) 增加伤害(0~255) 伤害反弹(0~100) 物伤减少(0~100) 魔伤减少(0~100) 麻痹-几率-时间(0~1 0~10 0~10) 防麻痹(0~1) 防全毒(0~1) 防火墙(0~1) 防诱惑(0~1) 破复活(0~1) 破护身(0~1) 冰冻-几率-时间(0~1 0~10 0~10) 防冰冻(0-1) 蛛网-几率-时间(0~1 0~10 0~10) 防蛛网(0-1)
万蝠老妖 30 30 30 70 70 0 0 0 0 0 80 0 0 0 0 0 0 0 0 0 0 0
第七波·小怪(反震) 0 0 50 0 0 0 0 0 0 0 80 0 0 0 0 0 0 0 0 0 0 0
第七波·BOSS【反震】 0 0 50 0 0 0 0 0 0 0 80 0 0 0 0 0 0 0 0 0 0 0
双头血魔 20 20 10 10 10 0 0 0 0 0 80 0 0 0 0 0 0 0 0 0 0 0
双头金刚 20 20 10 10 10 0 0 0 0 0 80 0 0 0 0 0 0 0 0 0 0 0
赤月恶魔 20 20 10 10 10 0 0 0 0 0 80 0 0 0 0 0 0 0 0 0 0 0
石墓尸王 20 20 10 10 10 0 0 0 0 0 80 0 0 0 0 0 0 0 0 0 0 0
虹魔教主 20 20 10 10 10 0 0 0 0 0 80 0 0 0 0 0 0 0 0 0 0 0
黄泉教主 20 20 10 10 10 0 0 0 0 0 80 0 0 0 0 0 0 0 0 0 0 0
牛魔王 20 20 10 10 10 0 0 0 0 0 80 0 0 0 0 0 0 0 0 0 0 0
双头血魔8 20 20 10 10 10 0 0 0 0 0 80 0 0 0 0 0 0 0 0 0 0 0
双头金刚8 20 20 10 10 10 0 0 0 0 0 80 0 0 0 0 0 0 0 0 0 0 0
赤月恶魔8 20 20 10 10 10 0 0 0 0 0 80 0 0 0 0 0 0 0 0 0 0 0
石墓尸王8 20 20 10 10 10 0 0 0 0 0 80 0 0 0 0 0 0 0 0 0 0 0
虹魔教主8 20 20 10 10 10 0 0 0 0 0 80 0 0 0 0 0 0 0 0 0 0 0
黄泉教主8 20 20 10 10 10 0 0 0 0 0 80 0 0 0 0 0 0 0 0 0 0 0
牛魔王8 20 20 10 10 10 0 0 0 0 0 80 0 0 0 0 0 0 0 0 0 0 0
万年树妖 20 20 10 10 10 0 0 0 0 0 80 0 0 0 0 0 0 0 0 0 0 0
堕落明王 20 20 10 50 50 0 0 0 0 0 80 0 0 0 0 0 0 0 0 0 0 0
堕落明王[疯狂] 20 20 10 50 50 0 0 0 0 0 80 0 0 0 0 0 0 0 0 0 0 0
山大王 20 20 10 10 10 0 0 0 0 0 80 0 0 0 0 0 0 0 0 0 0 0
魔龙教主 20 20 10 50 50 0 0 0 0 0 80 0 0 0 0 0 0 0 0 0 0 0
魔龙教主[疯狂] 20 20 10 50 50 0 0 0 0 0 80 0 0 0 0 0 0 0 0 0 0 0
暗之魔龙教主 20 20 10 50 50 0 0 0 0 0 80 0 0 0 0 0 0 0 0 0 0 0
魔龙树妖 20 20 10 10 10 0 0 0 0 0 80 0 0 0 0 0 0 0 0 0 0 0
深渊魔影巨人 20 20 10 10 10 0 0 0 0 0 80 0 0 0 0 0 0 0 0 0 0 0
雷炎蛛王 20 20 10 50 50 0 0 0 0 0 80 0 0 0 0 0 0 0 0 0 0 0
雷炎蛛王[疯狂] 20 20 10 50 50 0 0 0 0 0 80 0 0 0 0 0 0 0 0 0 0 0
世界BOSS·电尸 20 20 10 50 50 0 0 0 0 0 80 0 0 0 0 0 0 0 0 0 0 0
世界BOSS·万恶 20 20 10 50 50 0 0 0 0 0 80 0 0 0 0 0 0 0 0 0 0 0
千手人屠彭连虎 20 20 10 10 10 0 0 0 0 0 80 0 0 0 0 0 0 0 0 0 0 0
采花大盗田伯光 20 20 10 10 10 0 0 0 0 0 80 0 0 0 0 0 0 0 0 0 0 0
世界BOSS·米尔 20 20 10 50 50 0 0 0 0 0 80 0 0 0 0 0 0 0 0 0 0 0
雪域魔王 20 20 10 50 50 0 0 0 0 0 80 0 0 0 0 0 0 0 0 0 0 0
雪域魔王[疯狂] 20 20 10 50 50 0 0 0 0 0 80 0 0 0 0 0 0 0 0 0 0 0
火尾黑狐王 20 20 10 10 10 0 0 0 0 0 80 0 0 0 0 0 0 0 0 0 0 0
金爪赤狐王 20 20 10 10 10 0 0 0 0 0 80 0 0 0 0 0 0 0 0 0 0 0
玉面素狐王 20 20 10 10 10 0 0 0 0 0 80 0 0 0 0 0 0 0 0 0 0 0
狐月天珠 20 20 10 50 50 0 0 0 0 0 80 0 0 0 0 0 0 0 0 0 0 0
狐月天珠[疯狂] 20 20 10 50 50 0 0 0 0 0 80 0 0 0 0 0 0 0 0 0 0 0
火龙神 20 20 10 50 50 0 0 0 0 0 80 0 0 0 0 0 0 0 0 0 0 0
瘟疫统帅 20 20 10 50 50 0 0 0 0 0 80 0 0 0 0 0 0 0 0 0 0 0
半兽人首领 20 20 10 50 50 0 0 0 0 0 80 0 0 0 0 0 0 0 0 0 0 0
迷失教主 20 20 10 10 10 0 0 0 0 0 80 0 0 0 0 0 0 0 0 0 0 0
青龙 20 20 10 10 10 0 0 0 0 0 80 0 0 0 0 0 0 0 0 0 0 0
世界BOSS·霸王 20 20 10 50 50 0 0 0 0 0 80 0 0 0 0 0 0 0 0 0 0 0
丛林破坏者 20 20 10 50 50 0 0 0 0 0 80 0 0 0 0 0 0 0 0 0 0 0
血灵教主 30 30 30 70 70 0 0 0 0 0 80 0 0 0 0 0 0 0 0 0 0 0
真龙教主 30 30 30 70 70 0 0 0 0 0 80 0 0 0 0 0 0 0 0 0 0 0
